"country","food_supply_stage"
"Armenia","Storage"
"Syrian Arab Republic","Storage"
"Egypt","Whole supply chain"
"Armenia","Whole supply chain"
"United States of America","Whole supply chain"
"Armenia","Processing"
"Egypt","Wholesale"
"Armenia","Wholesale"
"Armenia","Farm"
"Egypt","Transport"
"Armenia","Households"
"Jamaica","Whole supply chain"
"Egypt","Storage"
"United States of America","Households"
"United States of America","Retail"
"Syrian Arab Republic","Whole supply chain"
"Egypt","Retail"
"United States of America","Farm"
"United States of America","Processing"
"United States of America","Harvest"
"Syrian Arab Republic","Harvest"
"Egypt","Farm"
"Egypt","Post-harvest"
